id,filename,type,detected_language
1168,3785ad61e5e170a1e42f7976de17611d1552934784.txt,short,en
720,9193c1649949fbba7c9a8b08d31e64f71037291669.txt,short,en
958,6874e9f9d8dfc38ce26478bc0d80b3d61443300616.txt,short,en
1416,008c12ae353991c73992941cb9c48ecd630660559.txt,short,en
620,238d5407a975e4be0424dda94d5f720c448251667.txt,short,en
991,5c0937ab3c095d465c20c5133d6fa9be547561719.txt,short,sk
1395,f777e6b3c45d1dc3df6ee9382640b95c799348589.txt,long,en
395,4df2187f756bbe8d4443075ca62340671722192723.txt,short,en
890,3b3c7046acc968de02e5726250fb4f201835300925.txt,short,en
1663,b8dca9124dc1bafe0395670281640b0f1433933802.txt,short,en
1205,d315318e8afbb868002b5ea4b8571b93540114342.txt,short,en
868,ceed6993eee00d19f38a93f8768ce79c753501488.txt,short,ar
990,f1a0c37d370f7aff4ac544c0b4e8556d1181348110.txt,long,en
451,0cd3c5c70f7dd4c7e6cf9ce589c7dc441013450936.txt,short,en
1817,559d1f6b9a17ed52b3a29cb2af25856f499661611.txt,long,en
1107,238efefa1cce598699accc3a8e8f6414691161722.txt,short,en
514,e955683a60b017adf0ced477babf31a6803235490.txt,short,en
747,643e1407d6ca3c3ff7f956f79393863f1637876251.txt,short,en
886,6faa9ff3376fb98fb7ec35815a4b5b5914892837.txt,short,en
52,798756d69b811faa9bdda4c0f7c9c8a21964225453.txt,short,en
525,39b79f237dda4feb62105cbd91788b411822053428.txt,long,en
204,d721d37748a36a8edd37f8fbfa0dc8c01172327997.txt,short,en
444,f97eecca86d0bae0d0fb82c6e4a14048511165212.txt,long,en
102,c52a287bcbbcff7b425a591715e3a62e1899876368.txt,short,en
1629,fc38f85e8001d9c019bc9e12eaf1e4761009854862.txt,short,en
1379,0f71c2c06fc3042b2f1dafb247f8420e864416910.txt,long,en
909,b8a9006b09ee963ffe93543a5a3083451754270057.txt,short,en
910,7128d8a23430910125178a288d6f6f0198660002.txt,long,en
1172,70f713b4bd976a62ac9b88f0f9b3ee91449826183.txt,short,en
20,15cbfe5bd75ee1a723aceabb2b4fb0611399616685.txt,short,en
742,0b972dd5d122bc563e031ebfc0566a9c1968242739.txt,long,en
508,003dc448840112776f024ecf13a497161422583328.txt,short,en
771,1b510afa5aaab0ef8ea37ee1b29bd5df611909564.txt,long,en
1555,d1f587c3675fa7a6db93839f8b7d2c5a314507420.txt,short,en
98,7a2f33640f408cd141e11af7711bd1371537206356.txt,short,en
806,8ad925e3f3a359bfbe9a4c48b3da801a1902931357.txt,short,en
1440,3c075a9ddf49f270220b514e479beb7c101578376.txt,short,en
1779,a795fce1271fa8df3a80bfbd638c0d69575955466.txt,short,en
214,ad4ff8663bac65d133dae7257ed5b305397352349.txt,short,en
1864,773690bb8e37a8d60ed42384648793971142915214.txt,short,en
500,e31a66e6797dc3ef4acc5b000cdd4de6658617214.txt,short,en
1133,95f739ed30757878ea7ad13bc80cec4f1431446671.txt,short,en
1167,7af0a182a6cd15bc952d832f51029646563400325.txt,long,en
314,822b131d1a3bddb86f66318fcff512e3507665357.txt,short,en
969,101035b1061f8c1f9b16872a827af6101482929902.txt,short,en
285,8942b85ed221923532552d892d4a25a9852759653.txt,short,en
503,7803fdbd077a6eadb63e8c777d986e941638673983.txt,short,en
1188,198f914c72bee24a19a7a7370f600a634784998.txt,short,en
1425,0ddf20ac669ac1f66f5ce422a3b4ec4e150741884.txt,long,en
1894,285f13487832da2b4d2511ca115e2b0a371693864.txt,long,en
610,cb7a44dd378b0bd94ee3f2dee59ee42a811145815.txt,long,en
258,23ffeb2d70a22571e533abe2efb579df1415536217.txt,short,en
360,295d267743c7a6d26029754411c73bca265317937.txt,long,en
1929,49bf9165abe4511712cf0ce5205bafc8198101085.txt,short,en
793,1305ab3346e0ea2b75f8c7f1b057293c67926317.txt,short,en
233,08b083cbddb9e547a5fd93b34bbc0778263538248.txt,short,en
1101,ad639d0a673e1c5af043b1533738023b865230437.txt,short,en
2008,cf47afce49cfaa13229a06656385e78a491311484.txt,short,en
1414,f39d46315ecc66a89a0eeaf3c66d75ae1384168829.txt,short,en
495,fae1e973e60ea4b367ea29935e04b9311525238151.txt,short,en
668,cb39eef49e37c1e67de30c47b7027ca92064075790.txt,long,en
1970,26f28df461b76c6e950db75da3b0d12c990692581.txt,short,en
1628,bd642327acec919fc0656986711d463d2110364034.txt,long,en
369,26536685bed0579cb8121bd4ecba2e701454414761.txt,short,en
964,e6d595c12006632ddfd8a680eab73bed624152123.txt,long,en
593,cf59ca5c70a9fde40b8d74dd7a72eb5e1409774879.txt,short,en
1327,2a2f85d9fe970da27e3d3f9b2a77c4e41512309635.txt,short,en
1103,6d65620344e237fe17763f4bf572e097541005241.txt,short,en
542,93b47e794982ad9f9afbfcc884e507dd1630526322.txt,long,en
826,c4acd6df9433770a58101642da4118891017976696.txt,long,en
837,f8f3fec3e5d0282f896af9612f012267269006672.txt,long,en
590,2d85c2925fa146ca229633ce95311cc21106402491.txt,long,en
1295,29598c0989792be9fe9d2d1358d77c221956905068.txt,short,en
583,4eff23e5755f33341dd05e02872327b31645594301.txt,long,en
60,2d74772dcf331fe556555673251ec1dc243293465.txt,short,en
370,431bc1f981f6a591af59bc4e0a185e732119986200.txt,short,en
89,d00776543ed141017a9e691481aef2b21573505418.txt,short,en
1250,1ad81781e2f0f1a34786d0a5c22b603b1157403876.txt,long,en
926,117e3e32f8805358a0a49e4e3ac2733d459836973.txt,short,en
646,7cf9eba159def911ce02c0065e3be4ec324350110.txt,short,en
2045,33e91005d67bcab429088e877fb9f59e132308726.txt,long,en
2039,24169e0ed486c0eaa50b8f8902e9ff1214414892.txt,short,en
756,2b9ae63e7e02a3a2b7a20fbe32aee875510680240.txt,long,en
1201,d7c5e86e0ad207d82ff3a1832ee3246080051286.txt,short,en
1850,0b256b17738db7ba10c4ea1f5d2b3680360949699.txt,short,en
913,f6dc825c34c962a011be07ab76345adf1137536493.txt,short,en
692,848566fe0d6e282719e9e14e4de77bf91766980483.txt,long,en
1702,14c053685e6d33e24d53327e3e3af71a1641714089.txt,short,en
527,c0d39214e1f2e074343c7aaefc1ff5f9279893601.txt,long,en
526,51657e16b49e16657368c9804f9692131995637739.txt,short,en
69,d47573cc4e4d862082509e358757aa4823857201.txt,short,en
1910,0fef23a29dbbecb25e3c28b1f990343c906062008.txt,short,en
1552,6faeb3bc5b6bc91ab878791c943dd3131603294066.txt,short,en
1409,130b9cab57c8f4070ae3b3d1f78d42fc2064832652.txt,long,en
1341,d04e244309426a0a09e2d3dafaf9f94a614499409.txt,long,fr
220,4b1e9dfc57f09022649fae32935f44c9343819285.txt,short,en
1606,b563f490e4f6a5aa5c980781eb772aa486067366.txt,short,en
548,e757664d0f4bcdb6a5ef069a6a06f06a379350488.txt,long,en
1007,2af1ab76e5f2a2d0af39b06ec1c312031931149517.txt,short,en
223,9b9282cb354195cc0aa30f507fdf66391053617147.txt,short,en
798,9c31e9b34d49841549432eda15d0a3b9298738670.txt,short,en
683,7d8d479122549a8d5983a74e983f0fdc507929389.txt,short,en
1652,700091ae5c13bda08aa6b9c5a81466561542333558.txt,short,en
88,bd411ad65c71b8236b056058a99bc82f201010679.txt,short,en
1697,c9f4ce758c5566bc56aca7f8fdf94aff1189076176.txt,short,en
1609,9f8175711b2dd9d1b1b1f7655430e77a2024421067.txt,long,fr
1881,09980ea0b3258091daefefd1d1690e6f1854525531.txt,short,en
356,abeebfd59f07a9b8b03e2e4ded80854d1850350384.txt,long,en
1303,1affb5c901961a7d9a0a8adb34692131803618948.txt,short,en
1693,4f7d37a1895eed88715b16d08bd713791477151441.txt,short,en
554,0a5823ee804453be616f0cfe03275de8661340640.txt,short,en
2036,8d6be938280b4fd1ef78211f3d30f809637364714.txt,short,en
1964,c99cfa022a6c19c931c4f73ed8e281801579800124.txt,short,en
1050,b82307e67e211f3b3683f34dc4319df6687445400.txt,long,en
811,9804ca09dd83239350da127568861eb5169000476.txt,long,en
198,1990d4d658196d72fc26a8000008d8d2165363865.txt,short,en
1268,bec70b5e3ad0eb6fea7a6a9ea7e52e591006348276.txt,short,en
1696,3a3829cc5a06170edbfe5fb9d201a5fc1120300561.txt,short,en
1190,c79fc59aba9477fab56dbb1cbe28a20b2075683153.txt,short,en
842,6496296dd3e7a831ffeaf8564a563ef341686800.txt,long,en
166,60f8421c8d86210f7b4d345fef1e6a202011444774.txt,short,en
1187,ac796e534b733cefc9fdaafbe2ae82f11904317030.txt,short,en
513,d68a800b0c3bd9b4b5b8c19c412fe2b41784620485.txt,short,en
1520,00b15ece3f743c1697d5140c1d887bbf2063425074.txt,short,en
1924,5594d013b8b6055c1d1fcdad285a2e03646774997.txt,long,en
1633,046f0b5d1177c3e732a7a1c4309748c3122370078.txt,short,en
1399,3ddc9c2d6788841e13afc1a3316e80981659567950.txt,long,en
1747,4ca63653cf9fd4f8d92d1c73f843543c544008033.txt,long,en
1612,b6fd000760e56873e018e46543d21a581159497724.txt,short,en
1335,62fe14b72c4079778ca49d162df94aa01858971523.txt,short,en
553,9907e667e53761df91dbdc4fc967b2921044301517.txt,long,en
263,cafbbc6b2b57335a4b4bb8928592b122146960879.txt,short,en
1947,d25d1fef1ec14ef22082e8ba8fd8d6be853144851.txt,short,en
413,0ed2e40f3c444454aec1e364039728f4944022798.txt,short,en
1017,aff8087f744cdb2b8b1c62edf1a520ea1787902780.txt,long,en
1914,3a0c642c0b9aedc1b16053bb985eb1b51551542291.txt,short,en
973,6e36a237b93836f36371e4f90ef29780322435649.txt,short,en
1774,caade0063a84b78baae345f34dbb5d0e1736283380.txt,short,en
1243,8c27029b076ad0287776aae095c2d1f4566471458.txt,long,en
1579,d9b21666ae270ad5b066c8bed0ba1710427487032.txt,long,en
1807,8969fa614ddd40a0532fcbc7a77cbea51031503081.txt,short,en
1809,64d5f67471521a823d55b669d7feedb5280905452.txt,long,en
1526,3431a7884dfa8af55ab759d760f15a0e376574771.txt,long,en
143,1fe42f338c64bfb3245d1d15e4c52751646032049.txt,short,en
789,5ed006be3bd286aebdd58d3ae6aa69771367815040.txt,short,en
411,5d96f8910093000a3f32b94e7934ee10702112802.txt,long,en
216,22f30a63fd511d07b0b3be338fa5c9041232977916.txt,short,en
1332,9e5b2091ac6442e74b0d67509d9475e71044765441.txt,long,en
654,6efe9c4f1d218fa267e7cd2029d5a9c21108879082.txt,short,en
2052,5bfd0c5a7d28702592fe0a1cf0e21c6e1467034475.txt,short,en
1627,587b728f4d439d3017e26f66327f447e2101578920.txt,short,en
601,887a6bfff7a427a4579352342499037c318193712.txt,short,en
569,4a41cf02cd558931004028c7edfa730f705569681.txt,long,en
252,499e876b1e0835860f429013e879f91b102243208.txt,short,en
284,530a156eba4d23e84f9fc9b4128ee37f2082297257.txt,long,en
331,f1cec9993e5617a80bc5e46eb9d0fb191479082453.txt,long,en
265,7b12765f60187df45d75766cb4321671994726590.txt,short,en
865,f63f4cf503f899c3662191d37dcfcd89733932954.txt,short,en
986,2dfcd14533a894a0a69d049bb2dcca8a1589864420.txt,long,en
1455,3390badb7aff1147ff3e8d6e98ce92411721446404.txt,long,en
448,e70e66d138c28e01b2333ffe11bf71e1417952935.txt,long,en
711,c7d3a5a9748e956dac075990d3737020284211086.txt,long,en
264,8489c5e2cecff94326c35875ada81e91601089149.txt,short,en
848,42f5eead019f090f596999e41b3382062081026707.txt,long,en
2005,ed8142a2ffbca93d705791e87e2da75b266196420.txt,short,en
167,16e3938094ffe8701f25431b0323fd8b2105818128.txt,short,en
1449,84cbc46453572391a72ee6f1e7cd898f654401801.txt,long,en
718,854efa7e3b0ae260e335befd127e4b7d1297488635.txt,short,en
1412,a65652d79d701b41c913cb1643fa15761922785968.txt,short,en
12,01944c5a079bc006c668969e864d4e231590776926.txt,short,en
1312,3f56d5c6041dc8c1fab815cb96daf4531811683625.txt,short,en
1849,6c70288f761d351c7672f82b640dd133120141149.txt,short,en
2070,b9620a2fbd1fdc64473161a31dd85236890073703.txt,short,en
238,a85e755c716114391e0752433cd118e5483487108.txt,short,en
1995,b07b3bba7668a1a40eb375519b1b7de3693186810.txt,short,en
665,c406c03ce115a717cecd90258a9ad9b1843631265.txt,short,en
373,6a2356e40861c759ffcb38112466ef1b1985961420.txt,short,en
1248,47c9a78bd00a7657e9ad2f4ba3425056961798917.txt,short,en
1328,293dc545c279fe43a1f28b6ef9de8c9a602690531.txt,long,en
386,92954522e2d34a2e53ecadd61bb5bbb02077323924.txt,short,en
688,973e33669bb4a6b8c00358041de73d5a350204148.txt,short,en
1940,7fe58ba060aad38faf74103b809f4c991553401487.txt,long,en
345,c25dbd85a619d4deb6e3acd666da9a911663487428.txt,long,en
529,69aa08f93fef6742426c7812b62088351725664236.txt,long,en
2035,6f4217ff518a62869f6b035e8056f311726578991.txt,short,en
1694,f944a85d0146102a3402a789542583961616500156.txt,short,en
987,9e899e8b3ebee9c9162fb5c0952054521893976410.txt,short,en
1836,ba65b92a5253424135ae06279a327da91062567618.txt,short,en
332,02c67b2a2824cc5b4630218a1f833de82102695528.txt,short,en
1196,d3d7d21be934fcfef448c36f8c24bc2d1224598829.txt,short,en
502,c84ee86a105df7feca25043d97b0babf760518876.txt,short,en
840,6118790ce85e585aeaf84ba6a01b7cc31824527893.txt,long,en
293,c70feb972fc1e19475c00372d2b18898580976251.txt,short,en
1801,ccf466def277f18278eb0add09159667548750830.txt,long,en
2087,edad335f98aa8a06813dea94371707c61871535229.txt,long,en
998,b8e0022090c8e408a506afe5b4b90fa4590267901.txt,short,en
732,871082e5a51a9039bce911055b56e979106309160.txt,long,en
794,80a375e75f5f075df42f0252429b29461132124728.txt,short,en
721,302ef64f3c2d17b7599973369d3dd8e51079472982.txt,long,en
